place_name,district,category,description,keywords
"Meenakshi Amman Temple","Madurai","Temple","Ancient historic temple with stunning gopurams and intricate carvings dedicated to Goddess Meenakshi.","temple, historic, madurai, architecture, spiritual, god"
"Shore Temple","Mahabalipuram","Temple","7th-century structural temple overlooking the Bay of Bengal, a UNESCO World Heritage site.","beach, temple, historic, unesco, shore, sea"
"Brihadisvara Temple","Thanjavur","Temple","Grand Chola architecture with a massive vimana and monolithic Nandi, UNESCO site.","temple, chola, historic, architecture, spiritual, unesco"
"Ooty (Udhagamandalam)","Nilgiris","Hill Station","Queen of Hill Stations featuring Nilgiri Mountain Railway, botanical gardens, and tea estates.","hill station, cool, nature, mountains, tea, relax"
"Kodaikanal","Dindigul","Hill Station","Princess of Hill Stations known for its star-shaped lake, pine forests, and misty cliffs.","hill station, lake, cool, nature, honeymoon, relax"
"Marina Beach","Chennai","Beach","Longest natural urban beach in India along the Bay of Bengal, popular for evening walks.","beach, sea, chennai, city, sunset, relax"
"Rameswaram Temple","Ramanathapuram","Temple","Sacred island temple with the longest corridor in the world, one of the Char Dhams.","temple, sea, island, spiritual, pilgrimage, god"
"Dhanushkodi","Ramanathapuram","Beach","Ghost town at the tip of Pamban Island where the Bay of Bengal meets the Indian Ocean.","beach, sea, adventure, historic, mysterious, ruins"
"Yercaud","Salem","Hill Station","Poor Man's Ooty located in Shevaroy Hills, known for coffee plantations and orange groves.","hill station, cool, mountains, nature, coffee, trekking"
"Kanyakumari Beach","Kanyakumari","Beach","Confluence of three oceans with spectacular sunrise and sunset views over the sea.","beach, sea, sunrise, sunset, ocean, landmark"
"Vivekananda Rock Memorial","Kanyakumari","Historic","Sacred monument on a rock island where Swami Vivekananda meditated.","historic, island, meditation, sea, spiritual, landmark"
"Mudumalai National Park","Nilgiris","Wildlife","Major tiger reserve with diverse flora and fauna, elephant camps, and safari tours.","wildlife, nature, animals, tiger, elephant, forest"
"Anamalai Tiger Reserve","Coimbatore","Wildlife","Biodiversity hotspot in Western Ghats with elephants, tigers, and exotic bird species.","wildlife, nature, forest, trekking, animals, tiger"
"Hogenakkal Falls","Dharmapuri","Waterfall","Niagara of India, known for coracle rides and medicinal water baths on Cauvery river.","waterfall, river, nature, adventure, bath, boat"
"Courtallam Falls","Tenkasi","Waterfall","Spa of South India with several waterfalls believed to have medicinal properties.","waterfall, nature, bath, medicine, relax, mountains"
"Valparai","Coimbatore","Hill Station","Hidden gem in Anaimalai Hills with vast tea and coffee estates and rich wildlife.","hill station, nature, tea, mountains, quiet, wildlife"
"Coonoor","Nilgiris","Hill Station","Second largest hill station in Nilgiris known for tea production and panoramic views.","hill station, cool, tea, mountains, views, relax"
"Gingee Fort","Villupuram","Historic","Impregnable hilltop fortress known as the Troy of the East, a marvel of medieval architecture.","historic, fort, mountain, trekking, architecture, adventure"
"Kumbakonam","Thanjavur","Temple","Temple town famous for the Mahamaham tank and numerous ancient Vishnu and Shiva temples.","temple, spiritual, historic, architecture, god"
"Kallanai Dam","Thanjavur","Historic","Ancient dam built across the Kaveri river by Chola king Karikala, still in use.","historic, river, engineering, chola, landmark"
"Pichavaram Mangrove Forest","Cuddalore","Wildlife","Second largest mangrove forest in the world offering unique boat rides through water trees.","wildlife, nature, forest, boating, adventure, unique"
"Pulicat Lake","Thiruvallur","Wildlife","Large brackish water lagoon attracting migratory birds like flamingos in winter.","wildlife, nature, lake, birds, flamingos, sunset"
"Vellore Fort","Vellore","Historic","16th-century fort with a moat, housing a temple, mosque, and church within its walls.","historic, fort, architecture, museum, landmark"
"Kolli Hills","Namakkal","Hill Station","Mountain range with 70 hair-raising bends, known for medicinal plants and Agasagangai falls.","hill station, adventure, nature, cool, trekking, waterfall"
"Yelagiri","Tirupattur","Hill Station","Small trekking destination with a lake, park, and favorable weather for paragliding.","hill station, cool, nature, trekking, lake, paragliding"
"Point Calimere Sanctuary","Nagapattinam","Wildlife","Coastal sanctuary known for blackbucks, migratory birds, and salt pans.","wildlife, nature, beach, birds, forest"
"Tranquebar (Tharangambadi)","Mayiladuthurai","Beach","Danish settlement with a sea-facing fort and unique colonial architecture.","beach, historic, sea, architecture, quiet"
"Srirangam Temple","Tiruchirappalli","Temple","Largest functioning Hindu temple in the world with 21 magnificent gopurams.","temple, spiritual, architecture, historic, island"
"Rockfort Temple","Tiruchirappalli","Temple","Ancient temple perched on a massive rock offering panoramic views of the city.","temple, historic, mountain, views, spiritual"
